date,tag,asset,downloads,total_downloads,views_14d,unique_views_14d,clones_14d,unique_clones_14d
2026-08-14,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-15,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-16,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-17,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,0,0,74,44
2026-08-18,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-19,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-20,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-21,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-22,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-23,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-24,v0.1.0,Lit2Bench-0.1.0.dmg,3,3,,,,
2026-08-25,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-25,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-25,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-25,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-25,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-26,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-26,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-26,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-26,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-26,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-27,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-27,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-27,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-27,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-27,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-28,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-28,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-28,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-28,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-28,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-29,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-29,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-29,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-29,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-29,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-30,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-30,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-30,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-30,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-30,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-08-31,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-08-31,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-08-31,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-08-31,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-08-31,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-09-01,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-09-01,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-09-01,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-09-01,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-09-01,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-09-02,v0.5.0,Lit2Bench-0.5.0.dmg,3,10,,,,
2026-09-02,v0.4.0,Lit2Bench-0.4.0.dmg,1,10,,,,
2026-09-02,v0.3.0,Lit2Bench-0.3.0.dmg,1,10,,,,
2026-09-02,v0.2.0,Lit2Bench-0.2.0.dmg,1,10,,,,
2026-09-02,v0.1.0,Lit2Bench-0.1.0.dmg,4,10,,,,
2026-09-03,v0.6.0,Lit2Bench-0.6.0.dmg,2,12,,,,
2026-09-03,v0.5.0,Lit2Bench-0.5.0.dmg,3,12,,,,
2026-09-03,v0.4.0,Lit2Bench-0.4.0.dmg,1,12,,,,
2026-09-03,v0.3.0,Lit2Bench-0.3.0.dmg,1,12,,,,
2026-09-03,v0.2.0,Lit2Bench-0.2.0.dmg,1,12,,,,
2026-09-03,v0.1.0,Lit2Bench-0.1.0.dmg,4,12,,,,
